"content","per+","per-","pesn+","psn-","pemb+","pemb-","fitur+","fitur-","tmp+","tmp-","umum+","umum-"
"Tolong atuh perbaiki kualitas nya kan banyak yang pake aplikasi ini seharusnya lebih ditingkatkan lagi. Jangan tiba tiba keluar sendiri akun nya trs susah login lagi nya loading nya lama banget ampun","0","0","0","0","0","0","0","1","0","0","0","1"
"SATU KATA UNTUK APLIKASI TERBARU ( LEMOT )","0","1","0","0","0","0","0","0","0","0","0","0"
"Aplikasi yang baru tampilannya makin ribet, enak yang dulu tampilan simple dan lebih cepat dalam proses transaksi nya. Mungkin bisa diperbaiki lagi, dengan tidak terlalu meninggalkan tampilan lama yang lebih sederhana dan tidak ribet dalam proses pemesanan tiket","0","0","0","0","0","0","0","0","0","1","0","0"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","1","0","0","0","0","1","0","0","0","0","0"
"Update baru bukan tambah baik malah tambah lemot...mending pakai yg sebelumnya sudah bagus kenapa kok diganti lagi...malah jd semarwut...jadi aplikasi unfaedah malahan.. Saran saya kembalikan seperti aplikasi sebelumnya saja mudah nyaman dan bagus","0","1","0","0","0","0","0","0","0","0","0","1"
"makin update makin jelek","0","0","0","0","0","0","0","0","0","0","0","1"
"ko tampilan nya lebih enak yang dahulu ya, di update malah jadi ruwet","0","0","0","0","0","0","0","0","1","0","0","0"
"Gak ada fitur filter ganti nama keretanya ... Mohon di perbaiki lgi . Makasih","0","0","0","0","0","0","0","1","0","0","0","0"
"Pembayaran gak banyak","0","0","0","0","0","1","0","0","0","0","0","0"
"Setelah update jadi tak bisa di buka","0","0","0","0","0","0","0","0","0","0","0","1"
"System basi, lemot, engginer app basi transfer tiket keburu kiamat otp email dah bener muncul eror java terus","0","1","0","0","0","0","0","0","0","0","0","0"
"Makin kesini makin susah terhubung, sering gagal scan atau pembayaran lain.. Ngapain nyediain aplikasi kalo masih eror dan gak bisa stabil. Mending beli di loker. Makin payah ðŸ‘Ž","0","0","0","0","0","1","0","0","0","0","0","1"
"Gak bisa log in,koneksi timeout terus","0","1","0","0","0","0","0","1","0","0","0","0"
"mending app yg sebelumnya","0","0","0","0","0","0","0","0","0","0","0","1"
"Update versi terbaru tidak efisien dalam pencarian dan pembelian tiket, perlu diperbaiki untuk tiket yang sudah sold sebaiknya tidak muncul seperti versi sebelumnya. Sebagus bagusnya pelayanan adalah mendengarkan keluhan pengguna","0","0","0","1","0","0","0","0","0","0","0","0"
"Gblog ud ufdatr provider telkomsel gk masuk2 tolol aplikasi mening aplikasi yg dulu simpel ink stuk d tampilan gk masuk2 menu Pesen tiket d waktu smntara waktu habis untuk loading melakjkan pembayaran aplikasi samph makin buruk pelayanan","0","0","0","1","0","0","0","0","0","0","0","1"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","0","0","0","1","0","0","0","1","0","0","0","0"
"Di samsung J3 pro tidak bisa d slide untuk lihat jadwal dan pesan tempat duduk kereta yang akan di pesan. Tolong di bantu untuk bisa di akses dengan HP layar d bawah 6""","0","0","0","0","0","0","0","1","0","0","0","1"
"Sangat membantu sekali","0","0","0","0","0","0","0","0","0","0","1","0"
"Buruk sangat buruk .. Reload sangat lama . Bahkan 15 menit pun .. Tiba2 no respon donk. 2x ketinggalan kereta gara2 reloadnya lama ... Bener bener mau ngatain kenapa sih d ubah ubah .. Kl prosesnya lama. Tolong perbaikin reloadnya","0","1","0","0","0","0","0","0","0","0","0","1"
"Baik saat pemesanan, login itu jadi lemot banget setelah di update, udah sekitar 1 jam tapi masih gagal untuk memesan karna loading padahal sinyal jelas bagus. fitur dulu lebih mudah untuk diakses walaupun yang saat ini tampilannya lebih fresh.","0","0","0","1","0","0","0","1","0","0","0","0"
"yg baru ini gak bisa milih tempat duduk kah?lemot bgt juga. lebih suka yg lama","0","1","0","0","0","0","0","0","0","0","0","0"
"Proses ganti jadwal kesulitan saat memilih reduksi","0","0","0","0","0","0","0","1","0","0","0","0"
"Gara gara ada promo kemerdekaan cara mendapatkan tiket jadi susah,saat di search keterangannya semua tiket habis tapi kenapa pakai aplikasi selain KAI seperti olshop masih banyak stok nya Tolong untuk kejelasan slot kursinya diakuratkan lagi","0","0","0","1","0","0","0","0","0","0","0","0"
"Update malah jadi banyak sampahh, harusnya kereta api yang sudah soldout gak usah MUNCUL LAGI,, HARGANYA JUGA GAK PASTI PASTI, KENAPA GA HARGA PAS AJA YANG MUNCUL,, BENER-BENER BIKIN KESEL","0","0","0","1","0","0","0","0","0","0","0","0"
"diperbarui bukannya update malah makin down, nyesel bgt w perbarui buka apk ditunggu berjam jam ga jalan bahkan seharian pun tetep ga jalan ðŸ˜­","0","1","0","0","0","0","0","0","0","0","0","1"
"Makin ga efisien, lebih baik apk sebelum nya","0","0","0","0","0","0","0","0","0","0","0","1"
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","0","1","0","1","0","0","0","1","0","0","0","0"
"ngelag","0","1","0","0","0","0","0","0","0","0","0","0"
"Ini setelah d update kenapa aplikasi nya jadi lemot banget min,bahkan logout sendiri,pas mau masuk jdi gk bisa masuk keterangan nya ""failed request"" padahal udah biasa dulu pake KAI acces, tolong donk klo memang harus pake aplikasi,aplikasinya yaa di bikin simpel dan mudah akses nya jangan jadi malah susah gini.","0","1","0","0","0","0","0","1","0","0","0","0"
"Berat bnget aplikasinya. ðŸ˜… sering keluar sendiri , jadwal krl gak lengkap setelah update. Buka aplikasi sampai 1 menit . Device lama samsung galaxy a50. Ini game berat?","0","0","0","0","0","0","0","1","0","0","0","1"
"Lemot saat masuk menu. Saat lemot kadang akun sudah log out, lalu saat masuk lagi sudah log in.","0","1","0","0","0","0","0","0","0","0","0","0"
"Aplikasi kai akses barusan tadi update pas udah beres update pas login/memasuki email loading terus waktu yang lama beda dengan versi sebelumnya tidak ada bug atau lemot padahal jaringan kami tidak mungkin gk bagus ... Secepatnya di perbaiki karena besok ada keberangkatan lokal ke bdg timur","0","1","0","0","0","0","0","0","0","0","0","0"
"Dih gemes banget sama aplikasi KAI yang sekarang kenapa sih pake di rubah segala enak yang dulu sekarang lemot pollll fitur2nya juga gak jelas , jelas an yang dulu please deh kembalikan aplikasi kai yang dulu aja ðŸ§ðŸ§ðŸ§ðŸ§","0","1","0","0","0","0","0","1","0","0","0","0"
"mines sekali aplikasi sekarang mau upgrade aja susa,,, sebelum update bisa pesen tiket udah update ga bisa pesen harus join member basic,, giliran mau join ga bisa","0","0","0","1","0","0","0","0","0","0","0","1"
"Baru buka apk aja kok udh lemot ya? Padhal udh di upgrade","0","1","0","0","0","0","0","0","0","0","0","0"
"Setelah update aplikasi jadi lemot sekali, sering tiba-tiba log out sendiri, susah saat mau membeli tiket dan menyulitkan saat boarding","0","1","0","1","0","0","0","1","0","0","0","0"
"Sortiran msh bagus di aplikasi sblmnya. Bs sort kelas kursi","0","0","0","0","0","0","0","1","0","0","0","0"
"Baru update.Log in ny butuh verifikasi sms hp tpi lama bgt kirim otp sms nya. Mlh d lock akun ny. Hadeh. Gmn sii???","0","0","0","0","0","0","0","1","0","0","0","0"
"Jelek...benar2 jelek..saya sampai ga bisa kerja tetap waktu karena sulitnya pesan tiket dari aplikasi ini...mending balikin ke yang sebelumnya..ga ribet..yang ini loadingnya bikin darah tinggi...","0","0","0","0","0","0","0","0","0","0","0","1"
"Aduh repot banget sih, tiket saya hilang karena gak bisa masuk ke akun lama","0","0","0","0","0","0","0","0","0","0","0","1"
"Bikin aturan seenaknya ya. Bikin update tapi masih banyak bug, jadi saya gabisa pulang pakai kereta! Harusnya kalo aplikasi ada update gini ada aturan sementara untuk bisa beli tiket di konter untuk berapa minggu sampai aplikasi stabil. Coba liat sekarang. Karena cuma ada satu perusahaan yang punya kereta jadi seenaknya aja bikin aturan. Tau ga sih efeknya? ADA YANG GA BISA PERGI/PULANG PAKE KERETA KARENA MASALAH APLIKASI. Ngerti ga itu tuh vital? Mending cari alternatif transportasi lain skrng","0","0","0","0","0","0","0","0","0","0","0","1"
"Aplikasi nya sangat lemot... Saya batal terus saat mau bayar karna loading nya lama sampai waktu limit pembayaran nya habis","0","1","0","0","0","1","0","0","0","0","0","0"
"Pada saat masuk kok lama sekali, gak seperti apk KAI acces","0","0","0","0","0","0","0","1","0","0","0","0"
"Akunya suka tiba-tiba keluar sendiri","0","0","0","0","0","0","0","1","0","0","0","0"
"diupdate malah gabisa masuk apk","0","0","0","0","0","0","0","1","0","0","0","0"
"Apa sii kenapa makin ancur ni apk ga bisa di akses lama loading nya","0","1","0","0","0","0","0","0","0","0","0","0"
"KAI access yang udah di update banyak errornya","0","0","0","0","0","0","0","0","0","0","0","1"
"Log in sulit, lelet banget, udh susah login sekali masuk logout lagi hadeuuh","0","1","0","0","0","0","0","1","0","0","0","0"
"Tampilan Pencarian kereta, tiket yang sudah habis kenapa tetap muncul malah jadi PHP buat calon penumpang.","0","0","0","0","0","0","0","1","0","0","0","0"
"Aplikasi gag berguna setelah diupdate,,,parahhhhh","0","0","0","0","0","0","0","0","0","0","0","1"
"Lebih enak versi lama","0","0","0","0","0","0","0","0","0","0","0","1"
"APLIKASI LEMOT PARAH!!!!! BANYAK MENU MENU GAK PENTING, FOKUS JUAL TIKET AJA JANGAN ALIH FUNGSI LAINYA!!!!!","0","1","0","0","0","0","0","1","0","0","0","0"
"Semenjak update aplikasi lemot tampilan membingungkan. Kereta yang penuh masih muncul","0","1","0","0","0","0","0","0","0","1","0","0"
"Jadi lemot bgtt, enakan pake apk sblm diupdate","0","1","0","0","0","0","0","0","0","0","0","0"
"setelah di update ke versi lama saya jadi harus pesen tiket kalau di tempat yg ada wifi nya soalnya pake provider gak pernah bisa ngbug mulu.. malah kadang minta temen pesenin tiket karna dia masih versi lama belum di update.. jadi sering pake tiket yg di screenshoot gara2 perkara aplikasi ngbug.. padahal saya tiap hari naik kereta buat kerja mesti beli online udah gak bisa offline.. tolong perbaiki lagi sudah banyak yg komplain harusnya cepat dibenahi.. terimakasih..","0","1","0","1","0","0","0","0","0","0","0","0"
"Lemot..!! Mau mesen tiket lokal aja lama loading nya! mesen harus online tapi apk nya lemot parah. udah sulit jadi makin dipersulit","0","1","0","0","0","0","0","0","0","0","0","0"
"Ok","0","0","0","0","0","0","0","0","0","0","1","0"
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","0","0","0","1","0","0","0","0","0","0","0","0"
"Gak bisa masuk, plat merah loh jangan dibuat mainan","0","0","0","0","0","0","0","1","0","0","0","0"
"Angel, Sulit, Susah, Rumit... sudah klik Lanjutkan... gak jalan-jalan sampai waktunya habis","0","0","0","0","0","0","0","0","0","0","0","1"
"Bagus, setelah update aplikasi nya jadi lebih stabil dan tampilan nya yang efisien","0","0","0","0","0","0","0","0","0","1","0","1"
"Masih susah dibuka enakan yang lama","0","0","0","0","0","0","0","0","0","0","0","1"
"Brengsek, man sekarang jadi susah login dan pesan tiket ribet saya mau pulang woy!! mana ini admin..","0","0","0","1","0","0","0","1","0","0","0","0"
"Mau login ga bisa,, lemot cuma muter aja ðŸ¤¦ðŸ¤¦","0","0","0","0","0","0","0","1","0","0","0","0"
"kalo segalanya mau online harusnya aplikasinya disiapin dulu sampe mateng jauh dari bug, lemot, ini aplikasinya aja belum optimal banyak bug, susah masuk, lemot ko udah maen harus beli online aja kasian orang yang mau naik kereta dibikin ribet engga jelas, bumn kerjanya ko gini","0","1","0","0","0","0","0","0","0","0","0","1"
"Tetap Update..Mudah Digunakan. Berikan Kami Pelayanan yang terbaik.","0","0","0","0","0","0","0","0","0","0","1","0"
"Pliss KAI segera perbaiki apknya secepatmyaaaaa! , setelah updet bnr bnr apk tidak membantu! Apalagi beli tiket lokal hrus pake apk gk bisa ots. Pas mau beli malah lemooootttt banget, sangat percuma penampilan bagus tapi gak fungsional. Tolong banget segera perbaiki, tadi pagi saya telat naik kereta dan gk jadi naik gra gra lemot apknya!! Lemotnya di semua mau pas log innya. Milih tiketnya, pembayaran dll. Dikasih waktu 5 mnit buat bayar tapi waktunya abis sama loading, udh ganti provider ttp.","0","1","0","1","0","0","0","1","0","0","0","0"
"1. Ribet. Jadwal yg habis tidak lgsg off, tp harus dibuka dulu baru muncul jam keberangkatan buat dilihat masih ada atau nggak. Gak efisien nyari jam yg masih ada bangkunya. 2. Lemot. LEMOOOOOT BANGET, selesai iai data diri mau pilih kursi loadingnya lama banget.","0","1","0","1","0","0","0","0","0","0","0","0"
"Tampilan baru malah makin lemot parah aplikasi nya...","0","0","0","0","0","0","0","0","0","1","0","0"
"update masih banyak bug !! lebih smooth apps yg versi lama","0","0","0","0","0","0","0","0","0","0","0","1"
"Udah chat ga bisa login ke cs ga ada kelanjutan","0","0","0","0","0","0","0","1","0","0","0","0"
"Yg versi baru lemot... pol... masih mending yg versi sebelumnya...","0","1","0","0","0","0","0","0","0","0","0","0"
"Sudah transaksi Qris sukses tiket buat besok PP tapi ngk ada di aplikasi bordingnya. Membingungkan aplikasinya","0","0","0","0","0","1","0","0","0","0","0","0"
"Kok tambah lemot, mau top up malah eror.","0","1","0","0","0","1","0","0","0","0","0","0"
"Makin di upgrade. Malah lemot Ga bisa pilih kursi terus setiap buka aplikasi suruh login terus","0","1","0","0","0","0","0","1","0","0","0","0"
"Aplikasinya jadi ngaco begini, mau cari nama kota & stasiunnya jd susah","0","0","0","0","0","0","0","0","0","0","0","1"
"Tujuannya apa, nampilin promo, tp tidak, tersedia, lebih bagus dan mudah versi sebelum nya.","0","1","0","0","0","0","0","1","0","0","0","1"
"Saya kasih bintang 1 dlu krn Upgrade aplikasi terbaru sangat lemot susah dioperasikan tdk spt aplikasi sebelumnya pdhl saya pengguna aktif tiap mgg pst pakai aplikasi KAI jd hapal bgt perbedaanya dg aplikasi sblmnya, saat memilih kereta loading super lama dan menampilkan kereta yg tiketnya sdh hbs diletakkan berurutan dg yg msh shg jd pengecoh, kalau mau lounching aplikasi terbaru mgkn bisa diuji coba terlebih dahulu biar lbh mermanfaat drpd keribetannya","0","1","0","0","0","0","0","0","0","1","0","0"
"Sekelas aplikasi pemerintah jeleknya minta ampun, server jelek","0","0","0","0","0","0","0","0","0","0","0","1"
"Mendingan kemaren, update malah ga jelas","0","0","0","0","0","0","0","0","0","0","0","1"
"PECAT UI/UX DESIGNERNYA SUMPAH !!! UI bagus tapi UX jelek, UI/UX designernyagausah ngide dah modal bagusin tampilan tapi user journey ga diperhatiin makin ribet, belajar lagi UI/UX nya :v","0","0","0","0","0","0","0","0","1","0","0","1"
"Mau masuk lemot, proses ke pembayaran juga lemot, sampai- sampai waktu pembayaran habis. Perbaiki lah ini aplikasi parah super lemot dari segala2nya","0","0","0","0","0","1","0","1","0","0","0","0"
"Diupdate kok malah ga bisa beli tiket ya... muter terus... tolong kedepannya jagan UI nya aja yg diperbaiki... mending versi yg lama.. versi yg baru jelek banget performanya..","0","1","0","0","0","0","0","0","0","1","0","0"
"Untuk membuka aplikasi jadi memerlukan waktu yang cukup lama setelah pembaruan.","0","1","0","0","0","0","0","0","0","0","0","0"
"Pesan kereta lokal susah, waktusesi habis terus","0","0","0","1","0","0","0","0","0","0","0","0"
"Lah kenapa sudah update malah makin ribet dan susah diakses.. Mohon diperbaiki min","0","0","0","0","0","0","0","0","0","0","0","1"
"Jadi ribet gini","0","0","0","0","0","0","0","0","0","0","0","1"
"Di perbaharui malah susah di buka.nyusahin....","0","0","0","0","0","0","0","0","0","0","0","1"
"Setelah di update dan tampilan baru malah lebih ..parah bug ny..loading lama....lemot..malah setelah update data nik berubah gmn ini team ...IT ny","0","0","0","0","0","0","0","0","0","1","0","0"
"Setelag update aplikasi menjadi sangat lemot di semua fiturnya, terutama di fitur Tiket Saya! Tiket yang sudah dibeli lama sekali bufferingnya menyebabkan kelamaan menunggu dipenukaran tiket/cetak boarding. Dan fitur Kereta untuk membeli tiker antar kotapun demikian begitu lemot bufferingnya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main update tetapi aplikasi belum bisa maksimal.","0","0","0","0","0","0","0","1","0","0","0","0"
"Bagusan aplikasi lama. Pilihan reduksi tidak muncul. Dari segi visualisasi ,membagongkan tdk enak dilihat dan sulit dipahami. User interface tuh jangan ramai banget warnanya. user suka yg simpel. Apakah sblm launching tdk di uji dan analisis dulu ke user sampel. Balik kayak yg lama aja, simpel. Kl pun mau tambah fungsi, ya jangan diubah tampilannya semua.","0","0","0","0","0","0","0","0","0","1","0","1"
"INI BAGAIMANA APLIKASI BARUNYA KOK ERROR? SAYA MAU PESAN TIKET JADI GABISA, GARA2 TIAP MAU BAYAR SELALU TIME OUT PADAHAL BARU SAJA DI KLIK TIBA2 SUDAH TIME OUT, SAMPAI SAYA LOGOUT DAN UNINSTALL ULANG TETEP GABISA, MAU HAPUS AKUN SAJA SEKALIAN JUGA GABISA, ALASANNYA KARENA ADA TIKET PERJALANAN YANG BLM SELESAI PDHL TIDAK ADA SAMA SEKALI WONG MAU BELI TIKET BARU AJA GABISA KOK.. GIMANA DONG INI SOLUSINYA? JADI SUSAH MAU BELI TIKET HARUS NYURUH ADEK SAYA PAKAI AKUNNYA","0","0","0","1","0","1","0","0","0","0","0","0"
"setelah update tambah lemot pak","0","1","0","0","0","0","0","0","0","0","0","0"
"D suruh upgrade ke basic tp ""idnum already exist"" itu gmna min. Kesel jg lama2","0","0","0","0","0","0","0","0","0","0","0","1"
"Mohon maaf setelah update akses menjadi lebih lambat, tidak seperti pada aplikasi sebelumnya. Saat memilih kursi timeout menunggu lama sekali. Menghabiskan banyak waktu","0","1","0","1","0","0","0","0","0","0","0","0"
"Sangat buruk saya telat 2 menit uang gabisa di refund malah hangus,jadi 200rbu cuman beli angin","0","0","0","0","0","0","0","1","0","0","0","0"
"Aplikasii kai setelah diupdate sangat sangatt jelek operasional yang lambat,beda sama aplikasi sebelum diupdate operasionalny lebih cepat,dan sekarang aplikasinya sangat sangat mempersulittt saya harap aplikasi ini bisa ditindaklanjutiiiiiii!!!!!!!!!!!!!!!!!","0","1","0","0","0","0","0","0","0","0","0","1"
"Di update bukan makin bagus . makin lemot jaringan susah masuk...gakjelas","0","1","0","0","0","0","0","0","0","0","0","0"
"Bikin aplikasi kok sampai g bisa di akses/eror. Sampai hampir g bisa dapat tiket di aplikasi gara"" eror. Akhirnya ya manual di stasiun.","0","0","0","0","0","0","0","0","0","0","0","1"
"Tolong dong kalo update aplikasi blm bisa maksimal jangan di paksain Udah kembali aja di jalan batu Buka aplikasi aja susah bgt berak kaya bawa gunung","0","0","0","0","0","0","0","0","0","0","0","1"
"Upgrade biar makin meningkat ini malah tambah parah, lemot dioperasikan. Gimana sih, malah mempersulit.. Hubungi lewat sosial media lain no respon. Parah banget.","0","1","0","0","0","0","0","0","0","0","0","1"
"Makin kesini makin menyusahkan","0","0","0","0","0","0","0","0","0","0","0","1"
"Lebih enak palikasi yang sebelumnya yang cepat","0","0","0","0","0","0","0","0","0","0","0","1"
"LEMOTTT POOOLLLLLLLL APLIKASI STUCK DI LOGO AJA, GABISA DIBUKA","0","1","0","0","0","0","0","0","0","0","0","0"
"Sejak diperbarui makin ribet.. Pesen tiket gabisa sat set.. Sering lemot.. Susah pesen tiket tertulis habis padahal real nta tiket masih tersedia.. Susah beli tiket di aplikasi skrng.. Hhh.. Balikin ajasih kek yg lama biar gak mempersulit pengguna.. Thx","0","1","0","1","0","0","0","0","0","0","0","1"
"Saya menyarankan untuk mengembalikan antarmuka aplikasi seperti sebelumnya, yang setelah update baru jadi sulit untuk membedakan tiket yang masih ada sama yang sudah habis","0","0","0","0","0","0","0","0","0","1","0","0"
"setelah aplikasi di update malah makin sulit diakses","0","0","0","0","0","0","0","0","0","0","0","1"
"Setelah update ke logo baru kok malah jadi makin parah ya. 1. Untuk masuk ke aplikasinya lama banget dan kadang logout sendiri 2. Saya mau pesen tiket kereta tp gak update akhirnya pesen via KAI web 3. Gak bisa buka tiket, padahal belom semua stasiun bisa pake face recognation jadi tetep harus liat kode booking, sedangkan untuk masuk ke aplikasinya aja susah Tolong dong diperbaikin lagi, kenapa masih bagus versi lama.","0","1","0","1","0","0","0","0","0","0","0","0"
